user_id,is_gmail,subscription_id,has_facebook,followers_count,followees_count,users_btw_user_and_inviter,reg_hour,reg_weekday,device_is_limited_ad_tracking,push_allowed,battery_save_mode,steps_provider_is_set,watch_is_paired,inviter_invited_count,invited_count,is_ios,is_email_status_good,Actual,Predicted
12005700,1,2,1,0,1,-8146,16,7,0,0,0,0,0,17335,0,0,0,0,0.9987039355291224
10175538,1,2,1,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0.9985452627873354
3405772,1,2,1,0,1,19937,23,2,0,0,0,0,0,2,0,0,0,0,0.9985140288825485
33084719,1,2,1,0,1,25855,23,1,0,0,0,0,0,6,0,0,0,0,0.9984968543103442
33094725,1,2,1,0,1,-29675,7,2,0,0,0,0,0,6,0,0,0,0,0.9984873273897489
6135573,1,2,1,0,1,5020,0,2,0,0,0,0,0,5,0,0,0,0,0.9984625666418405
33088262,1,2,1,0,1,29212,0,2,0,0,0,0,0,6,0,0,0,0,0.9984570051273596
923150,0,2,1,4,1,-10767,21,6,0,0,0,0,0,8,0,0,0,0,0.9983702599726513
12416176,0,2,1,2,2,0,18,6,0,0,0,0,0,0,2,0,0,0,0.9983596679198765
4311477,0,2,1,1,1,23240,12,6,0,0,0,0,0,5,0,0,0,0,0.9983387299173313
32268874,0,2,1,1,1,51,0,7,0,0,0,0,0,1,1,0,0,0,0.9983306256778034
11945875,0,2,1,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0.9983297637004969
11712328,0,2,1,0,1,-29248,15,4,0,0,0,0,0,3,0,0,0,0,0.9983243150321119
10977435,0,2,1,0,1,-17703,22,3,0,0,0,0,0,1,0,0,0,0,0.9983221044204281
33099507,0,2,1,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0.9982756641834625
12468475,0,2,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0.9982489778616224
6280581,1,2,0,9,4,0,19,2,0,0,0,0,0,0,2,0,0,0,0.9981453796060379
9979595,1,3,1,0,1,-19953,21,5,0,0,0,0,0,39452,0,0,0,0,0.9979376444799724
26695006,1,3,1,0,1,1518,10,6,0,0,0,0,0,7,0,0,0,0,0.9974415361121844
3260051,1,2,1,2,2,28580,18,4,0,0,0,0,0,37415,1,0,1,0,0.984198003231804
3260051,1,2,1,2,2,28580,18,4,0,0,0,0,0,37415,1,0,1,0,0.984198003231804
3260051,1,2,1,2,2,28580,18,4,0,0,0,0,0,37415,1,0,1,0,0.984198003231804
3260051,1,2,1,2,2,28580,18,4,0,0,0,0,0,37415,1,0,1,0,0.984198003231804
33001173,1,2,1,0,1,12455,16,5,0,0,0,0,0,25120,0,0,1,0,0.9833346133645071
7113133,1,2,1,0,1,-25942,23,7,0,0,0,0,0,3,0,0,1,0,0.9817375251897243
9785046,1,2,1,1,3,-32686,19,7,0,0,0,0,0,786,0,0,1,0,0.9817085931604248
9785046,1,2,1,1,3,-32686,19,7,0,0,0,0,0,786,0,0,1,0,0.9817085931604248
9785046,1,2,1,1,3,-32686,19,7,0,0,0,0,0,786,0,0,1,0,0.9817085931604248
9785046,1,2,1,1,3,-32686,19,7,0,0,0,0,0,786,0,0,1,0,0.9817085931604248
10867027,1,2,1,0,0,0,21,7,0,0,0,0,0,0,0,0,1,0,0.9816136490195027
7091679,1,2,1,1,1,3615,20,7,0,0,0,0,0,13,0,0,1,0,0.9815725941867198
8683442,1,2,1,0,2,17845,19,7,0,0,0,0,0,2,0,0,1,0,0.9815019857530913
9480233,1,2,1,1,1,5956,16,7,0,0,0,0,0,2,0,0,1,0,0.9814504855421636
32838469,1,2,1,1,0,0,18,6,0,0,0,0,0,0,0,0,1,0,0.9813330898966852
616415,1,2,1,0,1,-20058,9,7,0,0,0,0,0,1,0,0,1,0,0.9813202805840724
7907363,1,2,1,0,1,10891,18,6,0,0,0,0,0,2,0,0,1,0,0.981301037517914
8643593,1,2,1,0,0,0,9,7,0,0,0,0,0,0,0,0,1,0,0.9812682505128911
11550080,1,2,1,2,1,-3577,15,6,0,0,0,0,0,2,0,0,1,0,0.9812520681147903
32816512,1,2,1,0,0,0,21,5,0,0,0,0,0,0,0,0,1,0,0.9812254838190664
11132078,1,2,1,1,0,0,21,5,0,0,0,0,0,0,0,0,1,0,0.981224650818332
6915284,1,2,1,0,0,0,13,6,0,0,0,0,0,0,1,0,1,0,0.9811885280772918
6901512,1,2,1,0,0,0,11,6,0,0,0,0,0,0,0,0,1,0,0.9811302075356261
6901512,1,2,1,0,0,0,11,6,0,0,0,0,0,0,0,0,1,0,0.9811302075356261
6901512,1,2,1,0,0,0,11,6,0,0,0,0,0,0,0,0,1,0,0.9811302075356261
6901512,1,2,1,0,0,0,11,6,0,0,0,0,0,0,0,0,1,0,0.9811302075356261
